account_info_id,account_id,first_name, middle_name, last_name, birth_date, phone_number,create_time,change_time,finish_time,photo,email,entrance_year,academic_group_id,faculty_id
100,100,lola, middleName,bailey,1996-01-01,041-987-2738,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,lola.bailey@example.com,2011,101,101
101,101,alison, middleName,reynolds,1996-01-01,071-993-9836,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,alison.reynolds@example.com,2012,102,101
102,102,micheal, middleName,walker,1996-01-01,021-973-1287,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,micheal.walker@example.com,2013,103,101
103,103,sara, middleName,wade,1996-01-01,061-157-4796,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,sara.wade@example.com,2014,104,101
104,104,gordon, middleName,fuller,1996-01-01,061-564-9359,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,gordon.fuller@example.com,2011,105,101
105,105,barry, middleName,wells,1996-01-01,041-923-2020,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,barry.wells@example.com,2012,106,101
106,106,pat, middleName,bailey,1996-01-01,061-259-5702,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,pat.bailey@example.com,2013,107,101
107,107,seth, middleName,brewer,1996-01-01,051-617-7548,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,seth.brewer@example.com,2014,108,101
108,108,debra, middleName,weaver,1996-01-01,021-003-5986,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,debra.weaver@example.com,2011,109,101
109,109,dylan, middleName,palmer,1996-01-01,061-612-0150,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,dylan.palmer@example.com,2012,110,101
110,110,julia, middleName,lane,1996-01-01,011-806-5561,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,julia.lane@example.com,2013,101,101
111,111,julie, middleName,fitzsimmons,1996-01-01,021-981-6273,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,julie.fitzsimmons@example.com,2014,102,101
112,112,emily, middleName,curtis,1996-01-01,061-520-0833,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,emily.curtis@example.com,2011,103,101
113,113,steve, middleName,obrien,1996-01-01,011-819-5487,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,steve.obrien@example.com,2012,104,101
114,114,brandon, middleName,otoole,1996-01-01,071-557-6024,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,brandon.otoole@example.com,2013,105,101
115,115,ralph, middleName,newman,1996-01-01,061-637-3063,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,ralph.newman@example.com,2014,106,101
116,116,kelly, middleName,peterson,1996-01-01,031-379-9231,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,kelly.peterson@example.com,2011,107,101
117,117,darrell, middleName,stone,1996-01-01,021-832-9584,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,darrell.stone@example.com,2012,108,101
118,118,martin, middleName,ward,1996-01-01,011-932-9812,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,martin.ward@example.com,2013,109,101
119,119,rose, middleName,farragher,1996-01-01,011-475-2103,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,rose.farragher@example.com,2014,110,101
120,120,jonathan, middleName,payne,1996-01-01,041-210-9121,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,jonathan.payne@example.com,2011,101,101
121,121,chloe, middleName,stevens,1996-01-01,061-478-7363,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,chloe.stevens@example.com,2012,102,101
122,122,lewis, middleName,mitchelle,1996-01-01,061-278-5278,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,lewis.mitchelle@example.com,2013,103,101
123,123,marie, middleName,chapman,1996-01-01,051-933-2030,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,marie.chapman@example.com,2014,104,101
124,124,roland, middleName,lee,1996-01-01,071-906-0939,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,roland.lee@example.com,2011,105,101
125,125,angela, middleName,hughes,1996-01-01,011-597-5150,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,angela.hughes@example.com,2012,106,101
126,126,stephanie, middleName,carter,1996-01-01,021-420-4074,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,stephanie.carter@example.com,2013,107,101
127,127,ellen, middleName,simmmons,1996-01-01,051-104-8566,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,ellen.simmmons@example.com,2014,108,101
128,128,jamie, middleName,rogers,1996-01-01,021-651-6381,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,jamie.rogers@example.com,2011,109,101
129,129,karen, middleName,young,1996-01-01,061-840-2323,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,karen.young@example.com,2012,110,101
130,130,isabelle, middleName,odonoghue,1996-01-01,021-267-8287,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,isabelle.odonoghue@example.com,2013,101,101
131,131,jen, middleName,black,1996-01-01,071-236-1564,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,jen.black@example.com,2014,102,101
132,132,melissa, middleName,long,1996-01-01,031-811-1873,2015-01-01 00:00:00,2015-01-01 00:00:00,null,null,melissa.long@example.com,2011,103,101
